"","OBJECTID_1","COUNT","AREA","MEAN","SUM","cov","Species","SiteTransect","Site","Transect"
"559",8,94,5.875e-06,7,7,"ForestLoss","Avahi_laniger","Ambodihasina_3","Ambodihasina",3
"560",9,107,6.6875e-06,0,0,"ForestLoss","Avahi_laniger","Befamatra_1","Befamatra",1
"561",10,99,6.1875e-06,0,0,"ForestLoss","Avahi_laniger","Befamatra_3","Befamatra",3
"562",11,97,6.0625e-06,1,1,"ForestLoss","Avahi_laniger","Androfiabe_3","Androfiabe",3
"563",12,115,7.1875e-06,0,0,"ForestLoss","Avahi_laniger","Betaolana_3","Betaolana",3
"564",13,147,9.1875e-06,3,3,"ForestLoss","Avahi_laniger","Ambodivoara_5","Ambodivoara",5
"565",14,118,7.375e-06,0,0,"ForestLoss","Avahi_laniger","Betaolana_2","Betaolana",2
"566",15,137,8.5625e-06,5,5,"ForestLoss","Avahi_laniger","Betaolana_1","Betaolana",1
"567",16,108,6.75e-06,1,1,"ForestLoss","Avahi_laniger","Ambodivoara_4","Ambodivoara",4
"568",17,93,5.8125e-06,0,0,"ForestLoss","Avahi_laniger","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"569",18,113,7.0625e-06,2,2,"ForestLoss","Avahi_laniger","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
